Season,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_href,Weight,College,Height,Lg
2017-18,CAN,42,4,691,6.3,11.1,0.563,0.1,0.4,0.286,6.1,10.7,0.573,3.2,4.3,0.744,4.4,5.2,9.6,1,1.3,2.3,1.3,3.6,15.8,/gleague/players/b/beverge01d.html,235,None,80,G-League
2020-21,TOT,13,9,349,7.4,15.1,0.493,1.3,4.1,0.325,6.1,10.9,0.557,2.8,3.6,0.771,3.6,8.7,12.3,1,1,0.7,2.4,3.2,20.2,/gleague/players/b/beyty01d.html,NA,Colorado,NA,G-League
2018-19,TOT,49,30,1447,5.1,12.2,0.42,2.1,6.5,0.317,3.1,5.7,0.539,1.6,2.1,0.765,0.4,3.4,3.8,3.1,0.9,0.1,1.5,1.5,13.9,/gleague/players/b/bibbsju01d.html,220,Virginia Tech,77,G-League
2019-20,MAI,25,21,703,4.8,10.8,0.443,1.9,5.2,0.363,2.9,5.5,0.519,0.5,0.8,0.6,0.4,3.8,4.3,3.2,1,0.2,1.5,1.2,12.3,/gleague/players/b/bibbsju01d.html,220,Virginia Tech,77,G-League
2019-20,TOT,36,16,741,5.1,11,0.463,0,0.5,0.091,5.1,10.5,0.481,1,1.7,0.6,5,8.5,13.5,1.3,0.4,3.1,3.3,4.6,12.2,/gleague/players/b/bigbyka01d.html,250,LSU,83,G-League
2017-18,LKL,21,20,668,6.3,10.5,0.603,0,0,0,6.3,10.5,0.603,3.2,4,0.787,3.7,7.2,10.9,2.7,1.3,2.9,2.4,3.1,15.8,/gleague/players/b/birchkh01d.html,209,UNLV,81,G-League
2017-18,MAI,20,20,703,7.9,15.4,0.517,1.9,6,0.325,6,9.4,0.639,1.9,3.2,0.597,1.7,4.1,5.9,2.8,1.4,0.5,2.3,1.9,19.7,/gleague/players/b/birdja01d.html,200,California,78,G-League
2019-20,FOR,6,6,225,7.5,16.6,0.452,1.8,5,0.355,5.8,11.7,0.493,1,1.4,0.667,4.2,8.6,12.8,4,0.6,3,2.1,3.8,18.4,/gleague/players/b/bitadgo01d.html,NA,None,NA,G-League
2017-18,TOT,47,20,1338,6,13,0.46,2.7,6.7,0.407,3.3,6.4,0.515,3.4,4,0.853,0.6,4.1,4.7,2.7,0.8,0,1.8,2.2,18.2,/gleague/players/b/blackja01d.html,200,Indiana,76,G-League
2019-20,MAI,34,1,549,5.1,10.6,0.484,1.8,5.4,0.325,3.3,5.1,0.654,0.7,1,0.625,1.9,4.1,6,1.4,0.8,0.6,1.8,3.6,13.2,/gleague/players/b/blackwa01d.html,230,None,77,G-League
2016-17,TOT,19,3,364,9,18.3,0.492,0,0.1,0,9,18.2,0.495,2.8,4.7,0.583,4.9,6.1,11.1,1.4,1.1,0.5,2.8,6.9,20.8,/gleague/players/b/blairde01d.html,NA,Pitt,NA,G-League
2018-19,AUS,23,0,312,8.7,17.3,0.5,0,0,0,8.7,17.3,0.5,5.3,8.5,0.622,4.2,6.9,11.1,4.5,2.1,0.8,3.1,6.1,22.6,/gleague/players/b/blairde01d.html,NA,Pitt,NA,G-League
