Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Player_href,Weight,College,Height
2019-20,30,TOT,NBA,SF,68,21,1688,4.3,11.4,0.375,1.8,5.2,0.344,2.5,6.2,0.4,2.4,3.1,0.769,0.6,5.7,6.3,2,1.6,0.9,1.9,4.2,12.7,Kent Bazemore,/players/b/bazemke01.html,195,Old Dominion,76
2020-21,31,GSW,NBA,SF,67,18,1333,4.8,10.6,0.449,2,5,0.408,2.7,5.6,0.486,1.5,2.1,0.692,0.7,5.5,6.2,2.9,1.9,0.9,2.2,4.3,13,Kent Bazemore,/players/b/bazemke01.html,195,Old Dominion,76
2019-20,19,OKC,NBA,PF,61,9,1130,4,10.1,0.394,1.6,4.5,0.348,2.4,5.6,0.432,1.4,2,0.694,1,6.9,7.8,1.3,0.7,1.3,1.4,1.8,10.9,Darius Bazley,/players/b/bazleda01.html,208,None,80
2020-21,20,OKC,NBA,PF,55,55,1714,5.7,14.5,0.396,1.7,6,0.29,4,8.5,0.47,2.6,3.7,0.702,1.1,7.2,8.3,2.1,0.6,0.5,2.6,1.3,15.8,Darius Bazley,/players/b/bazleda01.html,208,None,80
2016-17,23,WAS,NBA,SG,77,77,2684,8.5,17.7,0.482,3,7.4,0.404,5.6,10.3,0.538,3.8,4.6,0.825,0.7,2.5,3.2,3.6,1.1,0.3,2.1,2.3,23.9,Bradley Beal,/players/b/bealbr01.html,207,Florida,75
2017-18,24,WAS,NBA,SG,82,82,2977,8.3,17.9,0.46,2.4,6.4,0.375,5.9,11.5,0.507,3.5,4.5,0.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,1.9,22.5,Bradley Beal,/players/b/bealbr01.html,207,Florida,75
2018-19,25,WAS,NBA,SG,82,82,3028,9.1,19.1,0.475,2.5,7.1,0.351,6.6,12,0.548,4.3,5.3,0.808,1.1,3.8,4.9,5.3,1.4,0.7,2.7,2.7,25,Bradley Beal,/players/b/bealbr01.html,207,Florida,75
2019-20,26,WAS,NBA,SG,57,57,2053,10.4,22.8,0.455,3,8.4,0.353,7.4,14.4,0.515,6.8,8,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5,Bradley Beal,/players/b/bealbr01.html,207,Florida,75
2020-21,27,WAS,NBA,SG,60,60,2147,11.2,23.2,0.485,2.2,6.3,0.349,9.1,16.9,0.535,6.8,7.7,0.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.5,Bradley Beal,/players/b/bealbr01.html,207,Florida,75
2016-17,20,DEN,NBA,SG,22,1,165,7.2,15.9,0.452,2,6.1,0.321,5.2,9.8,0.533,1.7,2.2,0.8,1.1,2.6,3.7,2.4,1.5,0,1.7,2.2,18.1,Malik Beasley,/players/b/beaslma01.html,187,Florida State,76
2017-18,21,DEN,NBA,SG,62,0,583,4.5,11,0.41,1.7,5.1,0.341,2.8,5.9,0.469,1.4,2,0.667,0.9,3.5,4.4,1.9,0.9,0.4,1.5,2.2,12.1,Malik Beasley,/players/b/beaslma01.html,187,Florida State,76
2018-19,22,DEN,NBA,SG,81,18,1879,6.7,14.1,0.474,3.1,7.8,0.402,3.6,6.4,0.56,1.1,1.3,0.848,0.7,3.2,3.8,1.9,1.1,0.2,1.1,2.2,17.6,Malik Beasley,/players/b/beaslma01.html,187,Florida State,76
2019-20,23,TOT,NBA,SG,55,14,1209,6.8,15.9,0.425,3.2,8.2,0.388,3.6,7.7,0.465,1.6,2,0.818,0.5,3.9,4.4,2.2,1.2,0.2,1.7,2.3,18.3,Malik Beasley,/players/b/beaslma01.html,187,Florida State,76
2020-21,24,MIN,NBA,SG,37,36,1214,7.8,17.8,0.44,3.8,9.5,0.399,4,8.3,0.487,2,2.4,0.85,0.8,4,4.8,2.6,0.9,0.2,1.8,1.8,21.5,Malik Beasley,/players/b/beaslma01.html,187,Florida State,76
2016-17,28,MIL,NBA,PF,56,6,935,8.3,15.6,0.532,0.7,1.7,0.419,7.6,14,0.545,3,4,0.743,1.5,5.9,7.4,2,1,1,2.5,3.5,20.3,Michael Beasley,/players/b/beaslmi01.html,235,Kansas State,81
2017-18,29,NYK,NBA,PF,74,30,1653,8.9,17.6,0.507,0.7,1.9,0.395,8.2,15.7,0.52,2.7,3.5,0.78,2.1,6.9,9,2.7,0.8,0.9,3.1,3.2,21.3,Michael Beasley,/players/b/beaslmi01.html,235,Kansas State,81
2018-19,30,LAL,NBA,PF,26,2,277,9.7,19.9,0.49,0.4,2.2,0.176,9.4,17.7,0.529,3.6,5.1,0.718,1.7,6.1,7.8,3.2,1.2,1.3,3.5,5.5,23.5,Michael Beasley,/players/b/beaslmi01.html,235,Kansas State,81
2016-17,30,CHO,NBA,SG,74,0,1778,5.3,12.5,0.429,2.1,5.7,0.36,3.3,6.7,0.488,3,3.4,0.893,0.3,3.3,3.6,3,0.9,0.2,1.4,1.8,15.8,Marco Belinelli,/players/b/belinma01.html,220,None,77
2017-18,31,TOT,NBA,SG,80,2,1947,6.2,14.1,0.441,2.8,7.3,0.377,3.5,6.8,0.509,2.7,3,0.908,0.4,2.4,2.8,2.7,1.2,0.2,1.7,1.7,18,Marco Belinelli,/players/b/belinma01.html,220,None,77
2018-19,32,SAS,NBA,SG,79,1,1815,5.7,13.7,0.413,2.9,7.8,0.372,2.7,5.9,0.468,2.2,2.5,0.903,0.3,3.6,3.9,2.6,0.7,0.2,1.4,2.4,16.4,Marco Belinelli,/players/b/belinma01.html,220,None,77
2019-20,33,SAS,NBA,SG,57,0,883,5,12.8,0.392,2.7,7.3,0.376,2.3,5.5,0.412,2,2.4,0.828,0.3,3.8,4,2.8,0.5,0,0.8,1.8,14.7,Marco Belinelli,/players/b/belinma01.html,220,None,77
2017-18,23,GSW,NBA,C,57,13,809,5.2,8.2,0.627,0,0.2,0,5.2,8.1,0.641,1.3,2,0.682,2.7,6.5,9.2,4.5,1.6,2.5,2.3,4.1,11.7,Jordan Bell,/players/b/belljo01.html,216,Oregon,80
2018-19,24,GSW,NBA,C,68,3,788,4.5,8.8,0.516,0,0.1,0,4.5,8.7,0.521,1.1,1.9,0.61,2.5,5.9,8.4,3.5,0.9,2.3,1.9,3.7,10.2,Jordan Bell,/players/b/belljo01.html,216,Oregon,80
